run,key,regime,user,controller,feature_kind,method,M,L,proposal_std,episodes,task_success_count,successful_target_count,target_rate,fallback_count,mean_valid_current_fraction,batch_replan_seconds
mode-aligned-soft-M8-std1,centered__upper_narrow_direction__oracle_soft,centered,upper_narrow_direction,oracle,mode,soft,8,4,1.0,16,16,11,0.6875,0,1.0,11.95581872202456
mode-aligned-soft-M8-std1,centered__upper_narrow_direction__learned_20,centered,upper_narrow_direction,learned20,mode,soft,8,4,1.0,16,16,11,0.6875,0,1.0,11.957748943998013
mode-aligned-soft-M8-std1,centered__upper_narrow_width__oracle_soft,centered,upper_narrow_width,oracle,mode,soft,8,4,1.0,16,16,11,0.6875,0,1.0,11.924296079028863
mode-aligned-soft-M8-std1,centered__upper_narrow_width__learned_20,centered,upper_narrow_width,learned20,mode,soft,8,4,1.0,16,16,11,0.6875,0,1.0,11.975733792001847
mode-aligned-soft-M8-std1,centered__upper_wide_direction__oracle_soft,centered,upper_wide_direction,oracle,mode,soft,8,4,1.0,16,16,0,0.0,0,1.0,11.890594422002323
mode-aligned-soft-M8-std1,centered__upper_wide_direction__learned_20,centered,upper_wide_direction,learned20,mode,soft,8,4,1.0,16,16,0,0.0,0,1.0,11.87967771984404
mode-aligned-soft-M8-std1,centered__upper_wide_width__oracle_soft,centered,upper_wide_width,oracle,mode,soft,8,4,1.0,16,16,0,0.0,0,1.0,11.982078054919839
mode-aligned-soft-M8-std1,centered__upper_wide_width__learned_20,centered,upper_wide_width,learned20,mode,soft,8,4,1.0,16,16,0,0.0,0,1.0,11.865171121957246
mode-aligned-soft-M8-std1,centered__lower_narrow_direction__oracle_soft,centered,lower_narrow_direction,oracle,mode,soft,8,4,1.0,16,16,12,0.75,0,1.0,11.939976634108461
mode-aligned-soft-M8-std1,centered__lower_narrow_direction__learned_20,centered,lower_narrow_direction,learned20,mode,soft,8,4,1.0,16,16,12,0.75,0,1.0,11.948089959914796
mode-aligned-soft-M8-std1,centered__lower_narrow_width__oracle_soft,centered,lower_narrow_width,oracle,mode,soft,8,4,1.0,16,16,11,0.6875,0,1.0,12.113753295969218
mode-aligned-soft-M8-std1,centered__lower_narrow_width__learned_20,centered,lower_narrow_width,learned20,mode,soft,8,4,1.0,16,16,11,0.6875,0,1.0,11.99129335588077
mode-aligned-soft-M8-std1,centered__lower_wide_direction__oracle_soft,centered,lower_wide_direction,oracle,mode,soft,8,4,1.0,16,16,0,0.0,0,1.0,12.085337130934931
mode-aligned-soft-M8-std1,centered__lower_wide_direction__learned_20,centered,lower_wide_direction,learned20,mode,soft,8,4,1.0,16,16,0,0.0,0,1.0,11.999726234935224
mode-aligned-soft-M8-std1,centered__lower_wide_width__oracle_soft,centered,lower_wide_width,oracle,mode,soft,8,4,1.0,16,16,0,0.0,0,1.0,11.932827598939184
mode-aligned-soft-M8-std1,centered__lower_wide_width__learned_20,centered,lower_wide_width,learned20,mode,soft,8,4,1.0,16,16,0,0.0,0,1.0,12.07239472103538
mode-aligned-soft-M8-std1,gaussian__upper_narrow_direction__oracle_soft,gaussian,upper_narrow_direction,oracle,mode,soft,8,4,1.0,16,16,3,0.1875,0,1.0,11.973690165032167
mode-aligned-soft-M8-std1,gaussian__upper_narrow_direction__learned_20,gaussian,upper_narrow_direction,learned20,mode,soft,8,4,1.0,16,16,3,0.1875,0,1.0,11.952877257193904
mode-aligned-soft-M8-std1,gaussian__upper_narrow_width__oracle_soft,gaussian,upper_narrow_width,oracle,mode,soft,8,4,1.0,16,16,3,0.1875,0,1.0,11.950439638108946
mode-aligned-soft-M8-std1,gaussian__upper_narrow_width__learned_20,gaussian,upper_narrow_width,learned20,mode,soft,8,4,1.0,16,16,3,0.1875,0,1.0,11.960132739972323
mode-aligned-soft-M8-std1,gaussian__upper_wide_direction__oracle_soft,gaussian,upper_wide_direction,oracle,mode,soft,8,4,1.0,16,16,6,0.375,0,1.0,11.85744051396614
mode-aligned-soft-M8-std1,gaussian__upper_wide_direction__learned_20,gaussian,upper_wide_direction,learned20,mode,soft,8,4,1.0,16,16,6,0.375,0,1.0,11.77502055594232
mode-aligned-soft-M8-std1,gaussian__upper_wide_width__oracle_soft,gaussian,upper_wide_width,oracle,mode,soft,8,4,1.0,16,16,6,0.375,0,1.0,11.75434991903603
mode-aligned-soft-M8-std1,gaussian__upper_wide_width__learned_20,gaussian,upper_wide_width,learned20,mode,soft,8,4,1.0,16,16,6,0.375,0,1.0,11.749880191986449
mode-aligned-soft-M8-std1,gaussian__lower_narrow_direction__oracle_soft,gaussian,lower_narrow_direction,oracle,mode,soft,8,4,1.0,16,16,3,0.1875,0,1.0,11.743000601883978
mode-aligned-soft-M8-std1,gaussian__lower_narrow_direction__learned_20,gaussian,lower_narrow_direction,learned20,mode,soft,8,4,1.0,16,16,3,0.1875,0,1.0,11.765870485920459
mode-aligned-soft-M8-std1,gaussian__lower_narrow_width__oracle_soft,gaussian,lower_narrow_width,oracle,mode,soft,8,4,1.0,16,16,3,0.1875,0,1.0,11.771975011040922
mode-aligned-soft-M8-std1,gaussian__lower_narrow_width__learned_20,gaussian,lower_narrow_width,learned20,mode,soft,8,4,1.0,16,16,3,0.1875,0,1.0,11.79508128395537
mode-aligned-soft-M8-std1,gaussian__lower_wide_direction__oracle_soft,gaussian,lower_wide_direction,oracle,mode,soft,8,4,1.0,16,16,9,0.5625,0,1.0,11.842375795997214
mode-aligned-soft-M8-std1,gaussian__lower_wide_direction__learned_20,gaussian,lower_wide_direction,learned20,mode,soft,8,4,1.0,16,16,9,0.5625,0,1.0,11.793182391906157
mode-aligned-soft-M8-std1,gaussian__lower_wide_width__oracle_soft,gaussian,lower_wide_width,oracle,mode,soft,8,4,1.0,16,16,9,0.5625,0,1.0,11.800394988968037
mode-aligned-soft-M8-std1,gaussian__lower_wide_width__learned_20,gaussian,lower_wide_width,learned20,mode,soft,8,4,1.0,16,16,9,0.5625,0,1.0,11.848752062069252
mode-aligned-best-M8-std1,centered__upper_narrow_direction__oracle_best,centered,upper_narrow_direction,oracle,mode,best,8,4,1.0,16,16,11,0.6875,0,1.0,12.437788013136014
mode-aligned-best-M8-std1,centered__upper_narrow_direction__learned_20,centered,upper_narrow_direction,learned20,mode,best,8,4,1.0,16,16,11,0.6875,0,1.0,12.385220180964097
mode-aligned-best-M8-std1,centered__upper_narrow_width__oracle_best,centered,upper_narrow_width,oracle,mode,best,8,4,1.0,16,16,11,0.6875,0,1.0,12.221237107820343
mode-aligned-best-M8-std1,centered__upper_narrow_width__learned_20,centered,upper_narrow_width,learned20,mode,best,8,4,1.0,16,16,11,0.6875,0,1.0,12.201684903004207
mode-aligned-best-M8-std1,centered__upper_wide_direction__oracle_best,centered,upper_wide_direction,oracle,mode,best,8,4,1.0,16,16,0,0.0,0,1.0,12.307200848939829
mode-aligned-best-M8-std1,centered__upper_wide_direction__learned_20,centered,upper_wide_direction,learned20,mode,best,8,4,1.0,16,16,0,0.0,0,1.0,12.200451637909282
mode-aligned-best-M8-std1,centered__upper_wide_width__oracle_best,centered,upper_wide_width,oracle,mode,best,8,4,1.0,16,16,0,0.0,0,1.0,12.277023870905396
mode-aligned-best-M8-std1,centered__upper_wide_width__learned_20,centered,upper_wide_width,learned20,mode,best,8,4,1.0,16,16,0,0.0,0,1.0,12.25379750697175
